7.045799999999999841e+01 8.802199999999999136e+00
1.274000000000000057e+02 1.109600000000000009e+01
1.843400000000000034e+02 1.377200000000000024e+01
2.412800000000000011e+02 1.683200000000000074e+01
2.982099999999999795e+02 2.027599999999999980e+01
7.855899999999999750e+01 2.618399999999999750e+02
1.281999999999999886e+02 2.536100000000000136e+02
1.778499999999999943e+02 2.500399999999999920e+02
2.275000000000000000e+02 2.510200000000000102e+02
2.771399999999999864e+02 2.565799999999999841e+02
1.351900000000000013e+01 6.891099999999999781e+00
1.092600000000000016e+01 5.156400000000000006e+01
1.038899999999999935e+01 9.623799999999999955e+01
1.190199999999999925e+01 1.409099999999999966e+02
1.547600000000000087e+01 1.855800000000000125e+02
2.113400000000000034e+01 2.302599999999999909e+02
2.891300000000000026e+01 2.749300000000000068e+02
3.551499999999999773e+02 2.410399999999999920e+01
3.547099999999999795e+02 6.456399999999999295e+01
3.525799999999999841e+02 1.050199999999999960e+02
3.487500000000000000e+02 1.454799999999999898e+02
3.431899999999999977e+02 1.859399999999999977e+02
3.358899999999999864e+02 2.264000000000000057e+02
3.267900000000000205e+02 2.668600000000000136e+02
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
